0 0 2686    38 25 40  
3924 0 0    144 156 28  
3925 0 0    102 77 49  
0 1691 0    91 78 36  
3895 0 0    85 136 33  
3933 0 0    85 103 46  
3924 1695 0    97 112 287  
3940 1680 2630    99 75 256  
0 1717 0    62 138 42  
3926 1685 2650    96 127 166  
3919 1695 2667    95 87 109  
3918 1692 0    64 90 111  
0 1667 0    76 104 34  
3930 0 0    96 91 45  
3917 0 0    67 139 53  
3945 0 0    91 70 52  
3952 1693 2631    164 84 220  
3917 0 0    94 123 42  
3936 1688 2644    120 87 145  
3939 1691 0    133 105 181  
3912 1669 0    58 114 166  
3907 0 0    85 115 40  
3908 1670 2652    67 142 150  
3921 0 0    122 84 39  
3910 0 0    71 85 39  
3928 0 0    114 133 31  
3900 1552 2537    100 153 161  
3936 0 0    86 46 38  
0 0 0    100 130 37  
3956 0 0    93 59 63  
3915 0 0    73 148 37  
0 0 2632    97 143 28  
9806 0 0    82 92 34  
3923 0 0    102 108 34  
3925 1690 2654    68 97 103  
3910 1667 2650    82 67 182  
3940 0 0    112 103 38  
3941 1685 2636    89 126 200  
3939 0 0    108 89 52  
3926 0 0    168 186 34  
0 0 0    88 108 36  
3935 1682 0    106 145 245  
3907 0 0    61 112 35  
3941 1704 2657    136 100 89  
3850 1656 2699    73 72 38  
0 0 2710    59 147 35  
3908 0 0    60 129 39  
3907 0 0    82 96 42  
3911 1702 2678    98 187 88  
3914 1676 2651    84 149 230  
3923 0 0    120 97 38  
3934 1697 2652    128 122 164  
3918 0 0    88 106 35  
3918 0 0    57 70 44  
3904 1687 0    49 81 83  
0 1658 0    34 140 37  
3916 0 0    98 89 36  
3918 1687 2657    85 86 122  
3885 1640 2644    71 155 186  
3916 1664 2639    61 54 190  
3920 1690 2659    98 116 174  
3927 0 0    103 148 38  
3935 0 0    90 157 50  
3913 1668 2647    76 98 238  
0 0 2584    135 115 120  
3938 0 0    125 67 34  
3907 0 0    106 95 37  
3895 1677 2676    82 117 111  
3916 0 0    82 81 37  
3911 0 0    106 140 45  
3911 1667 0    118 124 335  
3923 0 0    107 103 50  
3923 1669 2657    63 119 155  
3933 1686 2644    103 85 45  
3940 0 0    192 163 41  
3921 1688 2658    80 139 181  
3912 1679 2657    91 180 177  
3926 0 0    175 219 34  
3929 0 0    89 104 33  
3958 0 0    109 104 41  
3907 0 0    71 138 37  
0 0 0    115 156 186  
3907 0 0    77 180 36  
3842 12986 14466    79 307 39  
0 1704 2651    101 145 161  
3922 1681 2650    80 163 151  
0 0 0    38 27 100  
3927 0 0    247 217 57  
3907 1673 2658    68 118 154  
3935 0 0    97 91 40  
3928 0 0    79 85 35  
3909 1666 2648    71 201 123  
3920 0 2652    80 118 65  
3900 1673 2666    74 82 133  
3934 1703 2660    91 131 132  
3925 1677 2644    103 111 198  
3932 0 0    75 116 46  
0 1719 14622    192 102 35  
3921 0 0    82 99 40  
3944 1697 2645    190 81 156  
3909 1694 2678    87 182 122  
3951 1691 2635    171 111 242  
0 0 2640    173 176 244  
3908 1661 2645    71 114 179  
3921 1678 2648    94 152 289  
0 0 0    34 29 39  
3941 0 0    116 86 39  
3858 1639 2671    43 176 131  
3918 1687 2659    71 107 150  
3941 0 0    87 86 35  
3926 1656 2629    85 115 358  
0 0 2652    101 115 171  
