3933 1711 2665    117 140 115  
0 1661 2639    103 107 148  
3944 1693 2641    80 70 142  
0 1741 0    73 57 61  
3914 0 0    55 111 35  
3906 1658 0    52 88 179  
3920 1688 2657    110 128 145  
0 1649 14312    110 113 160  
0 1771 2628    48 114 128  
3945 1716 0    253 199 150  
3924 7386 8566    81 132 203  
3925 1684 2652    92 74 140  
3910 1693 2677    187 273 169  
3932 1705 2664    137 107 142  
3915 0 0    76 125 51  
3926 1676 0    80 114 182  
3915 1917 2900    81 90 160  
3928 0 0    117 56 45  
3911 1679 0    70 109 146  
3977 1710 2632    158 80 156  
3894 1643 2640    77 82 369  
3878 1645 2657    57 162 190  
3902 0 0    73 107 62  
0 1721 0    142 103 39  
3946 1729 2671    152 94 102  
0 1705 2629    67 113 190  
3940 1735 2685    87 93 155  
3954 0 0    91 80 47  
3940 1690 2639    82 98 168  
3936 1669 2623    79 86 310  
3936 1688 2642    99 81 175  
0 1658 2683    106 127 81  
0 0 0    77 111 61  
3919 0 0    64 108 30  
3931 1676 2632    56 75 135  
3918 1678 2649    86 115 155  
3919 0 0    62 108 51  
0 0 0    30 16 63  
3935 1691 2647    95 72 284  
3934 1762 0    100 126 137  
3944 1720 0    159 97 101  
15460 1705 0    134 114 40  
3941 1687 2636    102 70 151  
3940 1722 2673    78 86 83  
3915 1679 0    69 94 250  
3923 1681 2650    170 93 171  
3927 1703 0    61 163 116  
3927 1694 0    66 128 131  
0 1718 2645    79 101 182  
3925 1683 2646    100 127 248  
3944 1693 2642    94 80 161  
3901 1660 2648    63 142 176  
3929 0 0    73 82 41  
3906 1675 2659    80 151 152  
3919 0 0    67 124 37  
0 0 2672    185 95 100  
3927 1919 2887    82 67 139  
3910 0 0    118 109 36  
3913 0 0    69 105 57  
3900 1675 2630    97 90 115  
0 0 0    79 96 47  
0 1692 2623    65 110 285  
3918 1674 2647    70 133 197  
3897 1664 2657    47 110 131  
3943 1695 2640    70 164 154  
3917 1661 2632    89 73 381  
3914 0 0    81 108 46  
3954 1681 2640    97 63 180  
4046 1718 2563    81 120 42  
3914 1682 2660    106 71 140  
3924 0 0    84 95 35  
3923 0 0    102 120 39  
3929 1705 2666    101 126 140  
3921 0 0    94 133 42  
0 1672 0    126 127 60  
0 0 0    36 26 38  
3924 1670 2637    80 112 268  
3930 1668 0    76 66 147  
3929 1680 2642    93 69 110  
0 0 3893    52 126 173  
3937 1693 2646    91 102 148  
0 0 2649    96 77 148  
3919 0 0    103 100 39  
3912 1693 2671    80 98 111  
3924 1679 2645    57 67 196  
3921 1685 2652    74 110 164  
3944 1755 2708    93 138 158  
3915 1661 2636    70 142 320  
3924 1680 2645    45 81 86  
3909 1678 2659    79 113 133  
3894 0 0    85 218 40  
3915 0 0    68 121 39  
3932 0 0    99 151 35  
3928 1681 2644    83 115 163  
0 0 2643    77 79 286  
3928 1669 2629    58 85 221  
3931 1705 2662    79 92 73  
3934 1693 2648    88 81 111  
